id,raw_text,clean_text,intent,sentiment,pii_flag,rationale,split,pii_types
TW-10031,@AppleSupport Forgot my Apple ID password and recovery phone number 312-555-0199 is no longer active.,Forgot my Apple ID password and recovery phone number 312-555-0199 is no longer active.,Account,Negative,True,Account lockout and credential recovery problem. Direct phone number triggers PII flag.,train,phone_number
TW-10032,@Netflixhelp How do I remove a profile from my household group settings?,How do I remove a profile from my household group settings?,Account,Neutral,False,Account management and user profile configuration query.,train,
TW-10033,@Google360 Need to enable Two-Factor Authentication using security key for primary admin account.,Need to enable Two-Factor Authentication using security key for primary admin account.,Account,Neutral,False,Account security setting update request.,train,
TW-10034,@SpotifyCares Can I merge two separate Spotify accounts into one Duo family plan?,Can I merge two separate Spotify accounts into one Duo family plan?,Account,Neutral,False,Account consolidation inquiry.,train,
TW-10035,@AirbnbHelp Someone logged into my account from an unrecognized IP address in Miami! Lock my account!,Someone logged into my account from an unrecognized IP address in Miami! Lock my account!,Account,Negative,False,Account security compromise alert. Urgency and panic present.,train,
TW-10036,@MicrosoftHelps Changing primary email address on Microsoft account for user Marcus Vance at 742 Evergreen Terrace.,Changing primary email address on Microsoft account for user Marcus Vance at 742 Evergreen Terrace.,Account,Neutral,True,Profile contact update. Street address and full name trigger PII flag.,train,full_name;street_address
TW-10037,@Uber_Support How to permanently delete my rider account and clear personal data history?,How to permanently delete my rider account and clear personal data history?,Account,Neutral,False,Account deletion and privacy data erasure request.,train,
TW-10038,@PlayStationHelp Parent controls preventing child sub-account from accessing age-appropriate games.,Parent controls preventing child sub-account from accessing age-appropriate games.,Account,Negative,False,Sub-account access permissions issue.,val,
TW-10039,@AmazonHelp My account has been placed on temporary hold for security verification. Please review.,My account has been placed on temporary hold for security verification. Please review.,Account,Negative,False,Account status suspension review request.,val,
TW-10040,@PayPal Transferring account ownership from personal to business entity type.,Transferring account ownership from personal to business entity type.,Account,Neutral,False,Account tier conversion query.,test,
TW-10041,@Delta Shouting out flight attendant Sarah on DL1042 for being so kind to my elderly mother! Fantastic team!,Shouting out flight attendant Sarah on DL1042 for being so kind to my elderly mother! Fantastic team!,Other,Positive,False,Non-actionable positive feedback and staff compliment. Routed to Other.,train,
TW-10042,@NikeService What are the store opening hours for your flagship downtown location on Thanksgiving Day?,What are the store opening hours for your flagship downtown location on Thanksgiving Day?,Other,Neutral,False,General informational inquiry regarding store operating schedule.,train,
TW-10043,@Target Do you offer wheelchair accessibility rentals at the Minneapolis North branch?,Do you offer wheelchair accessibility rentals at the Minneapolis North branch?,Other,Neutral,False,General store facility query.,train,
TW-10044,@AppleSupport Huge thanks to the Genius Bar staff at Fifth Ave store for fixing my screen in 30 mins!,Huge thanks to the Genius Bar staff at Fifth Ave store for fixing my screen in 30 mins!,Other,Positive,False,Praise for service completion without active open request.,train,
TW-10045,@AmazonHelp Where can I submit product feedback and feature requests for Kindle Paperwhite?,Where can I submit product feedback and feature requests for Kindle Paperwhite?,Other,Neutral,False,General feedback channel inquiry.,train,
TW-10046,@SpotifyCares Your end-of-year Wrapped statistics were so accurate this year! Loved the breakdown.,Your end-of-year Wrapped statistics were so accurate this year! Loved the breakdown.,Other,Positive,False,Positive product feedback.,train,
TW-10047,@DoorDash_Help Do dashers bring thermal insulated bags for long distance orders?,Do dashers bring thermal insulated bags for long distance orders?,Other,Neutral,False,Logistics equipment inquiry.,train,
TW-10048,@Steam_Support Wishing the customer support team a wonderful holiday season!,Wishing the customer support team a wonderful holiday season!,Other,Positive,False,Non-actionable seasonal greeting.,val,
TW-10049,@AirbnbHelp Are pets allowed in community rating discussions?,Are pets allowed in community rating discussions?,Other,Neutral,False,General policy question.,val,
TW-10050,@Tesla Beautiful car design on the Model S Refresh! Keep up the innovation.,Beautiful car design on the Model S Refresh! Keep up the innovation.,Other,Positive,False,General brand appreciation praise.,test,
